autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Mikić Jelena,1989,Velika Plana,drugi,Gimnazija,Velika Plana,BIO,4,2006,Uticaj azot-monoksida na koncentraciju hlorofila a i b kod vrste Pisum sativum L.,pdf/2006/z06-z0621b05jd.pdf
Andrić Nevena,1988,Kragujevac,treći,I kragujevačka gimnazija,Kragujevac,GLG,6,2006,Petrografske karakteristike stena zapadnih i jugozapadnih padina Crnog Vrha (Kragujevac),pdf/2006/z06-z0622g01nm.pdf
Perišić Marko,1989,Obrenovac,treći,Elektrotehnička škola,Obrenovac,GLG,6,2006,Petrografske karakteristike stena zapadnih i jugozapadnih padina Crnog Vrha (Kragujevac),pdf/2006/z06-z0622g01nm.pdf
Milosavljević Jovana,1988,Mladenovac,treći,Gimnazija,Mladenovac,GLG,4,2006,Kvalitet vode reke Gradac,pdf/2006/z06-z0622g02jd.pdf
Spasojević Daša,1988,Beograd,treći,XIII beogradska gimnazija,Beograd,GLG,4,2006,Kvalitet vode reke Gradac,pdf/2006/z06-z0622g02jd.pdf
Dumić Aleksandra,1988,Krupanj,treći,Srednja škola,Krupanj,HEM,12,2006,Uticaj ultrazvuka na elektrohemijsko izdvajanje vodonika na različitim elektrodama,pdf/2006/z06-z0623h01ma.pdf
Baljozović Miloš,1989,Leskovac,drugi,Gimnazija,Leskovac,HEM,12,2006,Uticaj ultrazvuka na elektrohemijsko izdvajanje vodonika na različitim elektrodama,pdf/2006/z06-z0623h01ma.pdf
Vasić Dragana,1987,Beograd,četvrti,XIII beogradska gimnazija,Beograd,HEM,12,2006,Ispitivanje reakcije kompleksiranja [PtCl2(DMSO] SA L-cisteinom,pdf/2006/z06-z0623h02d.pdf
Vukčević Ivana,1989,Ćuprija,drugi,Gimnazija,Ćuprija,HEM,7,2006,Novi aspekti primene acido-bazne titracije za određivanje askorbinske kiseline,pdf/2006/z06-z0623h03iz.pdf
Janićijević Željko,1988,Bošnjane,treći,Gimnazija,Paraćin,HEM,7,2006,Novi aspekti primene acido-bazne titracije za određivanje askorbinske kiseline,pdf/2006/z06-z0623h03iz.pdf
Prokopović Vladimir,1988,Leskovac,treći,Gimnazija,Leskovac,HEM,6,2006,Efikasnost produkcije peroksinitrita (OONO-) iz različitih dinitrozil gvožđe kompleksa (DNIS) pri aerobnim uslovima,pdf/2006/z06-z0623h04p.pdf
Krstić Gordana,1988,Vranje,treći,"Gimnazija ""Bora Stanković""",Vranje,HEM,5,2006,Određivanje proizvoda rastvorljivosti teško rastvornih soli bakra primenom reakcije kataličke oksidacije hidrohinona vodonik-peroksidom,pdf/2006/z06-z0623h05gv.pdf
Hložan Vanja,1987,Novi Sad,četvrti,"Gimnazija ""Svetozar Marković""",Novi Sad,HEM,5,2006,Određivanje proizvoda rastvorljivosti teško rastvornih soli bakra primenom reakcije kataličke oksidacije hidrohinona vodonik-peroksidom,pdf/2006/z06-z0623h05gv.pdf
Miljušković Ana,1987,Nikšić (CG),četvrti,"Gimnazija ""Stojan Cerović""",Nikšić (CG),HEM,5,2006,Ispitivanje efekta vitamina C i cisteina na oslobađanje azot-monoksida iz natrijum-nitroprusida,pdf/2006/z06-z0623h06a.pdf
Petrović Milena,1988,Vlasotince,treći,"Gimnazija ""Stevan Jakovljević""",Vlasotince,HEM,7,2006,Optimizacija hemijskog prečišćavanja otpadne vodene emulzije iz procesa obrade obojenih metala,pdf/2006/z06-z0623h07m.pdf
Mrkić Ivan,1987,Barajevo,četvrti,XIII beogradska gimnazija,Beograd,HEM,4,2006,Optimizacija uslova za imobilizaciju invertaze na kopolimeru GMA-co-EGDMA,pdf/2006/z06-z0623h08is.pdf
Vujčić Stefan,1989,Sirig,drugi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,HEM,4,2006,Optimizacija uslova za imobilizaciju invertaze na kopolimeru GMA-co-EGDMA,pdf/2006/z06-z0623h08is.pdf
Tomić Goran,1988,Omoljica,treći,Medicinska škola,Pančevo,BMD,8,2006,Ispitivanje antiholinesterazne aktivnosti galme i p-kumarinske kiseline,pdf/2006/z06-z0624m01g.pdf
Mandić Aleksandra,1989,Subotica,drugi,"Gimnazija ""Svetozar Marković""",Subotica,BMD,4,2006,Uticaj kardiotoničnog glikozida oleandrina na srce žabe,pdf/2006/z06-z0624m02a.pdf
Đorović Đorđe,1990,Beograd,prvi,XV beogradska gimnazija,Beograd,BMD,4,2006,Uticaj slobodnih radikala na aktivnost citohrom c oksidaze – proteina svojstva zelenog čaja,pdf/2006/z06-z0624m03dj.pdf
Petrović Ivana,1990,Beograd,prvi,IX beogradska gimnazija,Beograd,BMD,3,2006,Ispitivanje uticaja insulina i deksametazona na promenu glikemije u krvi pacova,pdf/2006/z06-z0624m04i.pdf
Janković Marija,1990,Kruševac,prvi,Gimnazija,Kruševac,BMD,6,2006,Ispitivanje antioksidantnog sinergističkog efekta askorbinske kiseline i ekstrakta pomorandže na model sistemu svinjske jetre,pdf/2006/z06-z0624m05m.pdf
Jevtić Tijana,1987,Valjevo,četvrti,Valjevska gimnazija,Valjevo,BMD,4,2006,Ispitivanje uticaja galne kiseline na nervno-mišićnu sinapsu,pdf/2006/z06-z0624m06t.pdf
Vlajn Dušan,1991,Niš,prvi,"Gimnazija ""Bora Stanković""",Niš,BMD,4,2006,Uticaj tripsin inhibitora iz soje na zgrušavanje krvi,pdf/2006/z06-z0624m07v.pdf
Pavlović Tamara,1989,Pančevo,drugi,"Gimnazija ""Uroš Predić""",Pančevo,AHL,14,2006,Arheološka-istorijska interpretacija manastira Vojlovica,pdf/2006/z06-z0631a01tp.pdf
Plavša Jovana,1989,Novi Sad,drugi,"Gimnazija ""Svetozar Marković""",Novi Sad,AHL,20,2006,Rekonstrukcija odevanja na osnovu arheoloških nalaza iz bronzanog doba na teritoriji Srbije,pdf/2006/z06-z0631a02jm.pdf
Nešić Miloš,1988,Prokuplje,treći,Gimnazija,Prokuplje,AHL,20,2006,Rekonstrukcija odevanja na osnovu arheoloških nalaza iz bronzanog doba na teritoriji Srbije,pdf/2006/z06-z0631a02jm.pdf
Mladenović Tamara,1987,Kruševac,četvrti,Gimnazija,Kruševac,AHL,6,2006,Preliminarni rezultati arheoloških iskopavanja bronzanodopskih humki na lokalitetu Ilirsko groblje – kampanja 2006.,pdf/2006/z06-z0631a03tm.pdf
Gajić Aleksandar,1988,Popinci,treći,"Gimnazija ""Branko Radičević""",Stara Pazova,AHL,4,2006,Praistorijski lokaliteti opštine Stara Pazova – problemsko rekognosciranje,pdf/2006/z06-z0631a04avm.pdf
Koldžić Vuk,1988,Stara Pazova,treći,"Gimnazija ""Branko Radičević""",Stara Pazova,AHL,4,2006,Praistorijski lokaliteti opštine Stara Pazova – problemsko rekognosciranje,pdf/2006/z06-z0631a04avm.pdf
Marković Milan,1989,Zemun,drugi,Zemunska gimnazija,Zemun,AHL,4,2006,Praistorijski lokaliteti opštine Stara Pazova – problemsko rekognosciranje,pdf/2006/z06-z0631a04avm.pdf
Čelebić Jelena,1988,Herceg Novi (CG),treći,"Srednja škola ""Ivan Goran Kovačević""",Herceg Novi (CG),AHL,8,2006,Romaničke crkve u Boki Kotorskoj,pdf/2006/z06-z0631a05jm.pdf
Cvetković Mia,1990,Cetinje (CG),prvi,Srednja stručna škola,Cetinje (CG),AHL,8,2006,Romaničke crkve u Boki Kotorskoj,pdf/2006/z06-z0631a05jm.pdf
Kostić Aleksandar,1988,Beograd,treći,XIII beogradska gimnazija,Beograd,IST,11,2006,Uticaj drugog svetskog rata na lična imena u Beogradu,pdf/2006/z06-z0632i01a.pdf
Simić Ivan,1987,Valjevo,četvrti,Valjevska gimnazija,Valjevo,IST,10,2006,Analiza rada omladinskih radnih akcija i omladinskih radnih brigada opštine Grocka u periodu od 1976. do 1982. godine,pdf/2006/z06-z0632i02i.pdf
Košprdić Miloš,1988,Irig,treći,"Gimnazija ""Isidora Sekulić""",Novi Sad,LIN,8,2006,Pozicija zameničkih enklitika u konstrukcijama sa infinitivom,pdf/2006/z06-z0633L01ma.pdf
Cvetićanin Aleksandar,1988,Apatin,treći,"Gimnazija ""Nikola Tesla""",Apatin,LIN,8,2006,Pozicija zameničkih enklitika u konstrukcijama sa infinitivom,pdf/2006/z06-z0633L01ma.pdf
Jutronić Antonia,1989,Beograd,drugi,Filološka gimnazija,Beograd,LIN,8,2006,Načini imenovanja tipičnih i atipičnih pojmova kod dece,pdf/2006/z06-z0633L02a.pdf
Miljković Vanja,1988,Majdanpek,treći,"Gimnazija ""Mile Arsenijević Bandera""",Majdanpek,LIN,8,2006,Upotreba brojeva sa zbirnim značenjem u srpskom jeziku,pdf/2006/z06-z0633L03v.pdf
Barbatesković Ana,1988,Kladovo,treći,"Srednja škola ""Sveti Sava""",Kladovo,LIN,4,2006,Upotreba ženskih nomina agentis u dnevnoj štampi,pdf/2006/z06-z0633L04a.pdf
Milković Aleksandar,1988,Inđija,treći,Gimnazija,Inđija,LIN,3,2006,Uticaj pozicije slova na percepciju reči,pdf/2006/z06-z0633L05ba.pdf
Magoč Boban,1988,Bačko Gradište,treći,Elektrotehnička škola,Novi Sad,LIN,3,2006,Uticaj pozicije slova na percepciju reči,pdf/2006/z06-z0633L05ba.pdf
Nikolić Nevena,1988,Svrljig,treći,Poljoprivredna škola,Leskovac,LIN,8,2006,Poređenje omladinskog žargona Subotice i Leskovca,pdf/2006/z06-z0633L06nv.pdf
Gurinović Vojislav,1989,Subotica,drugi,Ekonomska škola,Subotica,LIN,8,2006,Poređenje omladinskog žargona Subotice i Leskovca,pdf/2006/z06-z0633L06nv.pdf
Pedović Ivana,1987,Užice,četvrti,Gimnazija,Užice,PSH,10,2006,Utvrđivanje povezanosti fizičkih karakteristika apstraktnih vizuelnih sklopova i njihovih konotativnih značenja,pdf/2006/z06-z0634p01ig.pdf
Rujević Goran,1988,Novi Sad,treći,Medicinska škola,Novi Sad,PSH,10,2006,Utvrđivanje povezanosti fizičkih karakteristika apstraktnih vizuelnih sklopova i njihovih konotativnih značenja,pdf/2006/z06-z0634p01ig.pdf
Papulić Ivana,1988,Beograd,treći,Matematička gimnazija,Beograd,PSH,7,2006,"Povezanost uspeha u školi, popularnosti u grupi i statusa ""bubalica"" u grupi",pdf/2006/z06-z0634p02im.pdf
Trkulja Marija,1987,Beograd,četvrti,XIII beogradska gimnazija,Beograd,PSH,7,2006,"Povezanost uspeha u školi, popularnosti u grupi i statusa ""bubalica"" u grupi",pdf/2006/z06-z0634p02im.pdf
Apić Ognjen,1989,Sremska Mitrovica,treći,"Gimnazija ""Ivo Lola Ribar""",Sremska Mitrovica,PSH,8,2006,Uticaj rasporeda opažajnih sila na estetski doživljaj umetničke slike,pdf/2006/z06-z0634p03os.pdf
Nikolovski Srđan,1989,Pančevo,drugi,Medicinska škola,Pančevo,PSH,8,2006,Uticaj rasporeda opažajnih sila na estetski doživljaj umetničke slike,pdf/2006/z06-z0634p03os.pdf
Jošić Smiljana,1987,Ljubovija,četvrti,"Gimnazija ""Vuk Karadžić""",Ljubovija,PSH,4,2006,Opažanje sličnosti forme,pdf/2006/z06-z0634p04sb.pdf
Jovanović Bojana,1987,Beograd,četvrti,XII beogradska gimnazija,Beograd,PSH,4,2006,Opažanje sličnosti forme,pdf/2006/z06-z0634p04sb.pdf
Vranjevac Tijana,1989,Požega,treći,"Gimnazija ""Sveti Sava""",Požega,PSH,5,2006,Estetski doživljaj fotografija,pdf/2006/z06-z0634p05tm.pdf
Đukanović Mila,1988,Mladenovac,treći,Gimnazija,Mladenovac,PSH,5,2006,Estetski doživljaj fotografija,pdf/2006/z06-z0634p05tm.pdf
Paunović Dragana,1989,Bela Crkva,drugi,"Gimnazija ""Jovan Cvijić""",Bela Crkva,PSH,5,2006,Povezanost konotativnog značenja informacije sa izborom koda (boje),pdf/2006/z06-z0634p06di.pdf
Đurić Ivana,1988,Valjevo,treći,Valjevska gimnazija,Valjevo,PSH,5,2006,Povezanost konotativnog značenja informacije sa izborom koda (boje),pdf/2006/z06-z0634p06di.pdf
Đurić Milica,1988,Beograd,treći,III beogradska gimnazija,Beograd,PSH,4,2006,Uticaj diskriminabilnosti i obrade informacije na različitim dimenzijama konotativnog značenja na zapamćivanje verbalnog materijala,pdf/2006/z06-z0634p07mf.pdf
Nenadić Filip,1990,Petrovaradin,prvi,Karlovačka gimnazija,Sremski Karlovci,PSH,4,2006,Uticaj diskriminabilnosti i obrade informacije na različitim dimenzijama konotativnog značenja na zapamćivanje verbalnog materijala,pdf/2006/z06-z0634p07mf.pdf
Simić Ljubica,1988,Užice,treći,Gimnazija,Užice,PSH,6,2006,Povezanost porodične klime i strategija suočavanja sa akademskim stresom kod adolescenata,pdf/2006/z06-z0634p08lji.pdf
Krtinić Isidora,1988,Rumenka,treći,"Gimnazija ""Isidora Sekulić""",Novi Sad,PSH,6,2006,Povezanost porodične klime i strategija suočavanja sa akademskim stresom kod adolescenata,pdf/2006/z06-z0634p08lji.pdf
Vermezović Ana,1988,Užice,četvrti,Gimnazija,Užice,PSH,6,2006,Povezanost mera spiritualnosti sa Strejhornovom skalom raligioznosti,pdf/2006/z06-z0634p09ant.pdf
Savić Nenad,1988,Bijela (CG),četvrti,"Srednja škola ""Ivan Goran Kovačić""",Herceg Novi (CG),PSH,6,2006,Povezanost mera spiritualnosti sa Strejhornovom skalom raligioznosti,pdf/2006/z06-z0634p09ant.pdf
Sučević Jelena,1989,Stara Pazova,drugi,"Gimnazija ""Branko Radičević""",Stara Pazova,ANT,9,2006,Dva narativa o narodnjacima: analiza stvaranja značenja,pdf/2006/z06-z0635s01j.pdf
Lazić Bojana,1987,Valjevo,četvrti,Valjevska gimnazija,Valjevo,ANT,6,2006,Maturiranje kao obred prelaza,pdf/2006/z06-z0635s02bt.pdf
Raičević Tatjana,1988,Beograd,četvrti,IX beogradska gimnazija,Novi Beograd,ANT,6,2006,Maturiranje kao obred prelaza,pdf/2006/z06-z0635s02bt.pdf
Kološnjaji Bojan,1988,Ruski Krstur,četvrti,"Gimnazija ""Petro Kuzmjak""",Ruski Krstur,AST,9,2007,Određivanje osnovnih parametara otvorenog zvezdanog jata M41 II,pdf/2007/z07-101_a1.pdf
Radojević Dimitrije,1989,Užice,drugi,Gimnazija,Užice,AST,12,2007,Segregacija mase u dvokomponentnim zbijenim zvezdanim jatima,pdf/2007/z07-101_a2.pdf
Cvijović Ivana,1990,Beograd,drugi,Matematička gimnazija,Beograd,AST,5,2007,Ispitivnje strukture u raspodeli Zemaljskih sudarnih kratera,pdf/2007/z07-101_a3.pdf
Radaković Tamara,1990,Novi Sad,drugi,"Gimnazija ""Isidora Sekulić""",Novi Sad,AST,5,2007,Ispitivnje strukture u raspodeli Zemaljskih sudarnih kratera,pdf/2007/z07-101_a3.pdf
Tomić Zoran,1988,Kruševac,četvrti,Gimnazija,Kruševac,AST,1,2007,Kretanje apsidne linije eklipsno dvojnog sistema PV Cassiopeiae,pdf/2007/z07-101_a4.pdf
Jovanović Ivan,1990,Blace,četvrti,Srednja škola,Blace,AST,1,2007,Kretanje apsidne linije eklipsno dvojnog sistema PV Cassiopeiae,pdf/2007/z07-101_a4.pdf
Savić Kristina,1989,Čurug,treći,Gimnazija,Bečej,AST,1,2007,Pritisak faznog prelaza u planetama Jupiterovog tipa,pdf/2007/z07-101_a5.pdf
Alorić Aleksandra,1988,Beograd,četvrti,Matematička gimnazija,Beograd,FIZ,8,2007,Uticaj topologije mreže na razvoj kooperativnosti,pdf/2007/z07-102af1_sask.pdf
Pajović Jelena,1988,Beograd,četvrti,Matematička gimnazija,Beograd,FIZ,6,2007,Dobijanje i ispitivanje osobina mikrosočiva u sloju želatina,pdf/2007/z07-102af2_jelp.pdf
Jovanović Martin,1990,Beograd,drugi,Matematička gimnazija,Beograd,FIZ,6,2007,Dobijanje i ispitivanje osobina mikrosočiva u sloju želatina,pdf/2007/z07-102af2_jelp.pdf
Marković Jelena,1990,Kačarevo,drugi,Matematička gimnazija,Beograd,FIZ,1,2007,Samoorganizovana kritičnost u otvorenom sistemu saobraćaja,pdf/2007/z07-102af3_jelm.pdf
Trokicić Aleksandar,1989,Niš,četvrti,"Gimnazija ""Svetozar Marković""",Niš,MAT,11,2007,Određivanje granica Ramzejevih brojeva metodom slučajnih grafova,pdf/2007/z07-103a_mat1.pdf
Milosavljević Nikola,1989,Niš,treći,"Gimnazija ""Svetozar Marković""",Niš,MAT,11,2007,Određivanje granica Ramzejevih brojeva metodom slučajnih grafova,pdf/2007/z07-103a_mat1.pdf
Oklapi Erna,1989,Novi Pazar,treći,Gimnazija,Novi Pazar,MAT,10,2007,Hamingov kod kao savršen kod,pdf/2007/z07-103a_mat2.pdf
Numanović Sanela,1990,Žabare (Kruševac),drugi,Gimnazija,Kruševac,MAT,10,2007,Hamingov kod kao savršen kod,pdf/2007/z07-103a_mat2.pdf
Stanimirović Stefan,1989,Niš,treći,"Gimnazija ""Svetozar Marković""",Niš,MAT,10,2007,Kombinatorni identiteti izvedeni Fibonačijevim i Katalanovim matricama,pdf/2007/z07-103a_mat3.pdf
Pantić Mladen,1988,Valjevo,četvrti,Valjevska gimnazija,Valjevo,MAT,10,2007,Kombinatorni identiteti izvedeni Fibonačijevim i Katalanovim matricama,pdf/2007/z07-103a_mat3.pdf
Razumenić Ivan,1989,Vršac,treći,"Gimnazija ""Boislav Petrović-Braca""",Vršac,ELE,8,2007,Konstrukcija uređaja za psivnu izvora zvuka u ravni TDOA metodom,pdf/2007/z07-104_ele1.pdf
Otašević Nikola,1989,Beograd,treći,Matematička gimnazija,Beograd,ELE,6,2007,Konstrukcija ultrazvučnog sonara i testiranje negovog rada u različitim uslovima,pdf/2007/z07-104_ele2.pdf
Bogdanović Miroslav,1990,Beograd,treći,Matematička gimnazija,Beograd,ELE,6,2007,Konstrukcija ultrazvučnog sonara i testiranje negovog rada u različitim uslovima,pdf/2007/z07-104_ele2.pdf
Basić Miodrag,1990,Beograd,drugi,X beogradska gimnazija,Beograd,ELE,4,2007,Merenje temperature vazduha pomoću ultrazvuka,pdf/2007/z07-104_ele3.pdf
Anastasijević Ana,1989,Beograd,treći,Matematička gimnazija,Beograd,ELE,5,2007,Merenje horizontalnog profila snage zvučnika u nelaboratorijskim uslovima,pdf/2007/z07-104_ele4.pdf
Nikolić Aleksandar,1988,Aleksinac,četvrti,Gimnazija,Aleksinac,RAČ,5,2007,Eksploatacija buffer overflowa na x86_64 Linux platformi,pdf/2007/z07-105_rac1.pdf
Čordaš Robert,1989,Mužlja,treći,Gimnazija,Zrenjanin,RAČ,6,2007,CallTheTux,pdf/2007/z07-105_rac2.pdf
Milovanović Dragomir,1988,Zemun,četvrti,V beogradska gimnazija,Beograd,BIO,8,2007,"Ispitivanje antimutagenog dejstva infuza od nevena, bokvice i koprive testom somatskih mutacija i rekombinacija",pdf/2007/z07-201_b1.pdf
Kiralj Arpad,1989,Sombor,treći,Medicinska škola,Sombor,BIO,8,2007,"Ispitivanje antimutagenog dejstva infuza od nevena, bokvice i koprive testom somatskih mutacija i rekombinacija",pdf/2007/z07-201_b1.pdf
Arnaut Marina,1988,Rumenka,četvrti,Medicinska škola,Novi Sad,BIO,8,2007,"Ispitivanje antimutagenog dejstva infuza od nevena, bokvice i koprive testom somatskih mutacija i rekombinacija",pdf/2007/z07-201_b1.pdf
Šviković Saša,1990,Kostolac,drugi,Gimnazija,Požarevac,BIO,5,2007,Utvrđivanje filogenetskih odnosa u porodici Rosaceae na osnovu količine kvercetina,pdf/2007/z07-201_b2.pdf
Horvat Sonja,1990,Vrbas,drugi,"Gimnazija ""Žarko Zrenjanin""",Vrbas,BIO,5,2007,"Prilog poznavanju diverziteta biljnih zolja (Symphyta, Hymenoptera) u okolini Valjeva",pdf/2007/z07-201_b3.pdf
Zorić Nina,1989,Novi Sad,treći,"Gimnazija ""Isidora Sekulić""",Novi Sad,BIO,5,2007,Analiza uticaja ekoloških faktora na florističku strukturu obalskih ekosistema Banje i Pocibrave,pdf/2007/z07-201_b4.pdf
Baljozović Andreja,1988,Beograd,četvrti,IX beogradska gimnazija,Beograd,BIO,3,2007,Interspecijsko predatorstvo među larvama vilinih konjica (Insecta: Odonata) na Petničkom jezeru,pdf/2007/z07-201_b5.pdf
Plavša Jovana,1989,Novi Sad,treći,"Gimnazija ""Svetozar Marković""",Novi Sad,BIO,5,2007,Ocena kvaliteta vode Petničkog jezera na osnovu sastava fitoplanktonske zajednice,pdf/2007/z07-201_b6.pdf
Đokić Jelena,1988,Otava (CAN),,Otava Univerzitet,Otava (CAN),BIO,5,2007,Ocena kvaliteta vode Petničkog jezera na osnovu sastava fitoplanktonske zajednice,pdf/2007/z07-201_b6.pdf
Andrić Nevena,1988,Kragujevac,četvrti,I kragujevačka gimnazija,Kragujevac,GLG,10,2007,Petrografske karakteristike stena padina Žeželja,pdf/2007/z07-202_g1.pdf
Perišić Marko,1989,Obrenovac,četvrti,Tehnička škola,,GLG,10,2007,Petrografske karakteristike stena padina Žeželja,pdf/2007/z07-202_g1.pdf
Jacanović Ilija,1989,Požarevac,treći,Gimnazija,Požarevac,GLG,2,2007,Ispitivanje osnovnih hemijskih karakteristika vode bušotine ML-1 kod Ždrela,pdf/2007/z07-202_g2.pdf
Mladenović Marina,1988,Aranđelovac,četvrti,Gimnazija,Aranđelovac,GLG,1,2007,Promena hemijskog sastava vode jezera Bukulja,pdf/2007/z07-202_g3.pdf
Milić Jovana,1988,Petrovac na Mlavi,četvrti,Gimnazija,Požarevac,HEM,10,2007,Ispitivanje uticaja ultrazvuka na karakteristike evolucije Briggs-Rauscher oscilatornog sistema u funkciji temperature i koncentracije IO3- jona,pdf/2007/z07-203_h1.pdf
Kolarski Dušan,1988,Kovin,četvrti,Gimnazija,Smederevo,HEM,10,2007,Ispitivanje uticaja ultrazvuka na karakteristike evolucije Briggs-Rauscher oscilatornog sistema u funkciji temperature i koncentracije IO3- jona,pdf/2007/z07-203_h1.pdf
Prokopović Vladimir,1988,Leskovac,četvrti,Gimnazija,Leskovac,HEM,9,2007,Ispitivanje superoksid dismutazne i antibakterijske aktivnosti kompleksa bacitracina sa prelaznim metalima,pdf/2007/z07-203_h2.pdf
Janićijević Željko,,Bošnjane (Paraćin),četvrti,Gimnazija,Paraćin,HEM,7,2007,Ispitivanje reakcije degradacije kvercetina u vodenim sredinama,pdf/2007/z07-203_h3.pdf
Pantelić Aleksandar,,Požega,četvrti,Medicinska škola,Užice,HEM,7,2007,Ispitivanje reakcije degradacije kvercetina u vodenim sredinama,pdf/2007/z07-203_h3.pdf
Baljozović Miloš,1989,Leskovac,treći,Gimnazija,Leskovac,HEM,12,2007,Uticaj ultrazvuka na ponašanje bakarne elektrode pri elektrohemijskom dobijanju vodonika i kiseonika,pdf/2007/z07-203_h4.pdf
Milojević Marko,1989,Beograd,četvrti,XII beogradska gimnazija,Beograd,HEM,5,2007,"Dobijanje biodizela od korišćenog jestivog ulja, ispitivanje njegovih osnovnih karakteristika i uporedno ispitivanje osnovnih karakteristika smeše bio-dizela i konvecionalnog dizela u različitim odnosima",pdf/2007/z07-203_h5.pdf
Krstić Gordana,1988,Vranje,četvrti,"Gimnazija ""Bora Stanković""",Vranje,HEM,5,2007,Uticaj ultrazvuka na aktivnost β-proteaze izolovane iz deterdženata,pdf/2007/z07-203_h6.pdf
Paunović Vladimir,1989,Užice,treći,Medicinska škola,Užice,HEM,4,2007,Ispitivanje uticaja Co2+ i Ni2+ jona na elektrolitički indukovanu polimerizaciju akril-amida,pdf/2007/z07-203_h7.pdf
Jeremić Rada,1990,Priboj,drugi,Gimnazija,Priboj,HEM,4,2007,Ispitivanje inhibitornog efekta formaldehida na koroziju gvožđa,pdf/2007/z07-203_h8.pdf
Slijepčević Irena,1990,Čačak,drugi,Gimnazija,Čačak,HEM,4,2007,Ispitivanje inhibitornog efekta formaldehida na koroziju gvožđa,pdf/2007/z07-203_h8.pdf
Bogojević Jelena,1989,Požarevac,četvrti,Gimnazija,Požarevac,HEM,6,2007,Optimizacija postupka hromatografskog odvajanja kompleksa Cu(II) sa Šifovim bazama u uslovima hromatografije na tankom sloju (TLC),pdf/2007/z07-203_h9.pdf
Tomić Goran,1988,Pančevo,četvrti,Medicinska škola,Pančevo,BMD,8,2007,"Ispitivanje inhibicije aktivnosti butiriholinesteraze ekstraktima štavelja, medunike, kupine i vrbičice",pdf/2007/z07-204_mbm1.pdf
Vaslić Jelena,1989,Novi Sad,treći,Ekonomska škola,Novi Sad,BMD,8,2007,"Ispitivanje inhibicije aktivnosti butiriholinesteraze ekstraktima štavelja, medunike, kupine i vrbičice",pdf/2007/z07-204_mbm1.pdf
Đorović Đorđe,1990,Beograd,drugi,XV beogradska gimnazija,Beograd,BMD,4,2007,Odloženi uticaj perinatalnog stresa na aktivnost acetilholinesteraze u mozgu pacova,pdf/2007/z07-204_mbm2.pdf
Tomić Goran,1988,Omoljica,četvrti,Medicinska škola,Pančevo,BMD,6,2007,"Ispitivanje uloge MAPK, JAK/STAT i NF-κB u regulaciji produkcije interleukina-17 u ćelijama limfnog čvora miša stimulisanim konkanavalinom A",pdf/2007/z07-204_mbm3.pdf
Janjić Iva,1990,Beograd,drugi,XIII beogradska gimnazija,,BMD,5,2007,Uticaj propolisa i njegovih aktivnih sastojaka na rast i razmnožavanje gram-pozitivnih i gram-negativnih bakterija,pdf/2007/z07-204_mbm4.pdf
Janjić Iva,1990,Beograd,drugi,XIII beogradska gimnazija,,BMD,5,2007,Uticaj propolisa i njegovih aktivnih sastojaka na rast i razmnožavanje gram-pozitivnih i gram-negativnih bakterija,pdf/2007/z07-204_mbm4a.pdf
Petrović Ivana,1990,Novi Beograd,drugi,IX beogradska gimnazija,Beograd,BMD,5,2007,Karakterizacija prirodnih izolata bakterija mlečne kiseline,pdf/2007/z07-204_mbm5.pdf
Jovanović Minja,1988,Smederevo,četvrti,Gimnazija,Smederevo,BMD,6,2007,"Ispitivanje inhibicije procesa lipidne peroksidacije ekstraktima kupine, ambrozije, medunike, vrbičice i štavelja",pdf/2007/z07-204_mbm6.pdf
Savić Vedrana,1989,Leskovac,treći,Gimnazija,Leskovac,BMD,3,2007,Uticaj ultrazvuka na klijanje semena pšenice,pdf/2007/z07-204_mbm7.pdf
Martinović Vladan,1988,Banatsko Karađorđevo,četvrti,Gimnazija,Zrenjanin,BMD,5,2007,Uticaj miricetina i kampferola na aktivnost enzima glutation reduktaze,pdf/2007/z07-204_mbm8.pdf
Milenković Milena,1990,Paraćin,drugi,Gimnazija,Paraćin,AHL,9,2007,Neolitska plastika sa lokaliteta Crkvine – Mali Borak,pdf/2007/z07-301_ahl1.pdf
Glavonjić Stefan,1991,Zemun,prvi,III beogradska gimnazija,Beograd,AHL,13,2007,Predstave na skordističkom novcu sa šire teritorije grada Beograda,pdf/2007/z07-301_ahl2.pdf
Mučibabić Mihailo,1990,Beograd,drugi,V beogradska gimnazija,Beograd,AHL,13,2007,Predstave na skordističkom novcu sa šire teritorije grada Beograda,pdf/2007/z07-301_ahl2.pdf
Stevanović Danica,1989,Žitorađa,treći,Gimnazija,Prokuplje,AHL,6,2007,Analiza kameni predmeta sa lokaliteta Crkvine u Malom Borku,pdf/2007/z07-301_ahl3.pdf
Marković Milan,1989,Zemun,treći,Gimnazija,Zemun,AHL,4,2007,Kulturno-hronološko opredeljenje gvozdenodopskog tumula sa lokaliteta Savinac,pdf/2007/z07-301_ahl4.pdf
Cvijanović Saška,1990,Inđija,drugi,Gimnazija,Inđija,AHL,4,2007,Kulturno-hronološko opredeljenje gvozdenodopskog tumula sa lokaliteta Savinac,pdf/2007/z07-301_ahl4.pdf
