autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Todorović Jovana,,,,,,RAČ,8,2013,Analiza strategija za igru „Ne ljuti se čoveče”,pdf/2013/RAČ1301.pdf
Slavković Viktor,,,,,,RAČ,9,2013,ECS 2D Scriptable Game Maker,pdf/2013/RAČ1302.pdf
Marković Lazar,,,,,,RAČ,6,2013,Implementacija preprocesivnog dela za rekonstrukciju 3D objekta na osnovu 2D izometrijske projekcije,pdf/2013/RAČ1303.pdf
Milivojević Sara,,,,,,AHL,10,2014,Utvrđivanje vegetacije pleistocena okoline Petničke pećine na osnovu analize polena,pdf/2014/AHL1401.pdf
Ranđelović Bogdan,,,,,,AHL,10,2014,Utvrđivanje vegetacije pleistocena okoline Petničke pećine na osnovu analize polena,pdf/2014/AHL1401.pdf
Kukić Marija,,,,,,AHL,9,2014,"Tafonomska analiza životinjskih kostiju sa lokaliteta Jerinin grad – Brangović, sezona 2011-2012",pdf/2014/AHL1402.pdf
Matejić Jovana,,,,,,ANT,13,2014,Šta znači biti (ne)vaspitan pas: Antropološka analiza ljudsko-životinjskih odnosa u procesu vaspitavanja pasa,pdf/2014/ANT1401.pdf
Nikolić Nikolija,,,,,,ANT,11,2014,Riblogovanje sopstva na Tumblr-u,pdf/2014/ANT1402.pdf
Đurović Ana,,,,,,ANT,2,2014,Semiološka analiza narativa filma Projekat: Veštica iz Blera,pdf/2014/ANT1403.pdf
Mihajlović Vuk,,,,,,ANT,1,2014,Telesne prakse na heavy metal koncertima u Paraćinu i Jagodini,pdf/2014/ANT1404.pdf
Milanović Aleksandra,,,,,,ANT,1,2014,Novi identitet Balkana – Analiza okcidentalizovane slike Balkana u reklami za promociju proširenja Evropske unije,pdf/2014/ANT1405.pdf
Mihajlović Sanja,,,,,,AST,14,2014,Implementacija „Sveta krasuljaka” probabilističkim ćelijskim automatom,pdf/2014/AST1401.pdf
Kostić Andrija,,,,,,AST,18,2014,Dinamika čestica prašine izbačenih sa jezgara kometa C/2012 S1 (ISON) i C/2011 W3 (Lovejoy),pdf/2014/AST1402.pdf
Milovanović Anđelka,,,,,,AST,6,2014,Gravitacioni uticaj masivnih Jupiterovih Trojanaca na stabilnost kretanja u oblasti L4,pdf/2014/AST1403.pdf
Milovanović Nikolina,,,,,,AST,6,2014,Analiza oblika krivih sjaja video meteora rojeva Orionidi i Geminidi,pdf/2014/AST1404.pdf
Grašić Ljubica,,,,,,AST,6,2014,Analiza oblika krivih sjaja video meteora rojeva Orionidi i Geminidi,pdf/2014/AST1404.pdf
Saulić Petar,,,,,,AST,7,2014,Uticaj rotacije na formiranje plimskih repova galaksija na primeru Antena galaksija,pdf/2014/AST1405.pdf
